source_url,Date of Sale,Product,Product Category,Quantity,Total Price,Total Profit,Payment Type,Customer ID,Location,Gender,Age Category,Main Category,Subcategory
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-01,White Short Sleeve Oxford Shirt,Men → Shirts,1,53.0,20.14,Credit Card,3375,Dublin,Male,18-24,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-01,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,46.0,18.4,CC,3997,Dublin,Female,25-34,Men,Jeans
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-01,1000 Thread Count Cotton Sateen Collection,Homeware → Bed Bath,3,267.0,93.45,Credit Card,6419,Tipperary,Female,35-44,Homeware,Bed Bath
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-01,Black Loose Fit Jeans with Stretch,Men → Jeans,1,29.0,11.6,Credit Card,18572,Cork,Female,35-44,Men,Jeans
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-01,Mola Headlamp,Homeware → Design,2,86.0,34.4,CC,15441,Donegal,Female,25-34,Homeware,Design
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Pink Slim Fit Double Cuff Shirt,Men → Shirts,1,29.0,11.02,Credit Card,14644,Carlow,Female,35-44,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Blue Floral Embroidered Mac,Children → Girls Wear,1,35.0,17.85,CC,5681,Sligo,Female,,Children,Girls Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,2,35.0,17.85,Debit Card,11222,Clare,Female,35-44,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Dark Blue Belted Jeans,Men → Jeans,1,29.0,11.6,Credit Card,7544,Limerick,Female,35-44,Men,Jeans
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Black Single Cuff Shirt,Men → Shirts,1,42.0,15.96,Credit Card,12791,Dublin,Female,35-44,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Soft Velour Eyelet Lined Curtains,Homeware → Design,4,424.0,169.6,Credit Card,5794,,Female,18-24,Homeware,Design
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-02,Orange/Navy Shorts Three Pack,Children → Girls Wear,2,33.0,16.83,Credit Card,15025,Meath,,55-64,Children,Girls Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-03,Multi Floral Print Short Dress,Women → Dresses,1,31.0,15.5,Credit Card,10716,Cork,Male,18-24,Women,Dresses
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-03,Rose Gold Two Tier Drainer,Homeware → Design,2,62.0,24.8,Credit Card,8878,Dublin,,25-34,Homeware,Design
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-03,White Short Sleeve Oxford Shirt,Men → Shirts,1,53.0,20.14,CC,3894,Limerick,Female,25-34,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-03,Grey Marl Panda Face Crew,Children → Boys Wear,3,34.5,17.59,Credit Card,15434,Monaghan,Female,45-54,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Black Single Cuff Shirt,Men → Shirts,2,84.0,31.92,Credit Card,10094,Donegal,,35-44,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Red/Charcoal Joggers Two Pack,Children → Boys Wear,1,15.0,7.65,Credit Card,15034,Dublin,Female,45-54,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Black Skinny Fit Jeans with Stretch,Men → Jeans,1,41.4,13.8,Credit Card,3803,Wexford,Female,35-44,Men,Jeans
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Black Single Cuff Shirt,Men → Shirts,3,126.0,47.88,Credit Card,8600,Dublin,Male,18-24,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Fluro Shorts Two Pack,Children → Boys Wear,1,17.5,8.93,Credit Card,7797,Meath,Female,55-64,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Double Wall Mug,Homeware → Design,1,12.5,5.0,Credit Card,5678,Kildare,Male,35-44,Homeware,Design
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-04,Mid Blue Straight Fit Jeans,Men → Jeans,2,68.4,22.8,Debit Card,7466,Dublin,Male,45-54,Men,Jeans
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Grey Marl Panda Face Crew,Children → Boys Wear,-1,11.5,5.87,Debit Card,5578,Dublin,Female,35-44,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Black Cigarette Trousers,Men → Trousers,1,24.0,11.76,Credit Card,5912,Dublin,Female,35-44,Men,Trousers
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Lyle & Scott Oxford Shirt,Men → Shirts,3,189.0,71.82,Credit Card,8991,Cork,Female,45-54,Men,Shirts
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Red/Charcoal Joggers Two Pack,Children → Boys Wear,1,13.5,6.15,Credit Card,11872,Clare,Male,45-54,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,1,17.5,8.93,Credit Card,1528,Dublin,Male,45-54,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Navy Colourblock Crew and Jogger Set,Children → Boys Wear,3,52.5,26.77,Credit Card,15322,Dublin,Female,55-64,Children,Boys Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page01.html,2024-01-05,Blue Floral Embroidered Mac,Children → Girls Wear,1,35.0,17.85,Pay Pal,9319,Cork,Female,25-34,Children,Girls Wear
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page02.html,2024-01-05,Black Cigarette Trousers,Men → Trousers,2,48.0,23.52,Debit Card,10606,Dublin,Female,35-44,Men,Trousers
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page02.html,2024-01-06,Leather Court Shoes,Men → Shoes,3,111.0,49.95,Credit Card,13437,Dublin,Male,45-54,Men,Shoes
http://mlg.ucd.ie/modules/python/assignment1/retail/2024Q1-page02.html,2024-01-06,Black Cigarette Trousers,Men → Trousers,1,24.0,11.76,Voucher,13987,Donegal,Male,45-54,Men,Trousers
